node,name,type,neighbors,connections
"(:Step {created: 2024-12-24T07:24:28.630000000Z,name: Source Classification,description: Classify and categorize validated sources,type: TASK})",Source Classification,TASK,[],2
"(:Step {created: 2024-12-24T07:24:33.186000000Z,name: Content Analysis,description: Analyze source content structure,type: TASK})",Content Analysis,TASK,[],2
"(:Step {created: 2024-12-24T07:24:33.186000000Z,name: Knowledge Parsing,description: Parse and extract relevant knowledge,type: TASK})",Knowledge Parsing,TASK,[],2
"(:Step {created: 2024-12-24T07:24:33.186000000Z,name: Metadata Generation,description: Generate metadata for extracted knowledge,type: TASK})",Metadata Generation,TASK,[],2
"(:Step {created: 2024-12-24T07:24:37.836000000Z,name: Validation Rules,description: Apply knowledge validation rules,type: TASK})",Validation Rules,TASK,[],2
"(:Step {created: 2024-12-24T07:24:37.836000000Z,name: Cross-Reference,description: Cross-reference with existing knowledge,type: TASK})",Cross-Reference,TASK,[],2
"(:Step {created: 2024-12-24T07:24:37.836000000Z,name: Quality Assessment,description: Assess quality and completeness,type: TASK})",Quality Assessment,TASK,[],2
"(:ToolIndex {created: 2024-12-24T07:30:00.157000000Z,name: Global Tool Index,description: Centralized index of all available tools and APIs})",Global Tool Index,null,[],106
"(:Tool {server: brave-search,created: 2024-12-24T07:30:00.157000000Z,name: brave_web_search,description: Web search API for general queries and content,type: SEARCH})",brave_web_search,SEARCH,[],109
"(:Tool {server: brave-search,created: 2024-12-24T07:30:00.157000000Z,name: brave_local_search,description: Local search API for location-based queries,type: SEARCH})",brave_local_search,SEARCH,[],109
"(:Tool {server: mcp-openai,created: 2024-12-24T07:30:00.157000000Z,name: openai_chat,description: OpenAI chat models API,type: LLM})",openai_chat,LLM,[],109
"(:Tool {server: neo4j,created: 2024-12-24T07:30:00.157000000Z,name: read-neo4j-cypher,description: Execute Cypher read queries,type: DATABASE})",read-neo4j-cypher,DATABASE,[],109
"(:Tool {server: neo4j,created: 2024-12-24T07:30:00.157000000Z,name: write-neo4j-cypher,description: Execute Cypher write queries,type: DATABASE})",write-neo4j-cypher,DATABASE,[],109
"(:Tool {server: filesystem,created: 2024-12-24T07:30:00.157000000Z,name: read_file,description: Read file contents,type: FILESYSTEM})",read_file,FILESYSTEM,[],109
"(:Tool {server: filesystem,created: 2024-12-24T07:30:00.157000000Z,name: write_file,description: Write file contents,type: FILESYSTEM})",write_file,FILESYSTEM,[],109
"(:WorkflowTemplate {created: 2024-12-24T07:30:07.910000000Z,name: Fractal Workflow Template,description: Base template for creating fractal workflows})",Fractal Workflow Template,null,[],13
"(:Template {relationships: [STARTS_WITH, INCLUDES, USES, REFERENCES],created: 2024-12-24T07:30:07.910000000Z,name: Base Workflow,type: WORKFLOW,properties: [name, description, version, created]})",Base Workflow,WORKFLOW,[],52
"(:Template {relationships: [NEXT, USES, EXECUTES, ON_ERROR],created: 2024-12-24T07:30:07.910000000Z,name: Workflow Step,type: STEP,properties: [name, description, type, status]})",Workflow Step,STEP,[],52
"(:Template {relationships: [ATTACHES_TO, PROCESSED_BY, VALIDATES],created: 2024-12-24T07:30:07.910000000Z,name: Data Node,type: DATA,properties: [name, type, format, content, metadata]})",Data Node,DATA,[],52
"(:ExpansionRules {created: 2024-12-24T07:30:15.034000000Z,name: Fractal Expansion Rules,description: Rules governing workflow expansion and composition})",Fractal Expansion Rules,null,[],49
"(:Rule {created: 2024-12-24T07:30:15.034000000Z,name: Horizontal Expansion,description: Expand workflow by adding parallel or sequential steps,type: EXPANSION,conditions: [Must maintain workflow connectivity, Steps must have unique names]})",Horizontal Expansion,EXPANSION,[],36
"(:Rule {created: 2024-12-24T07:30:15.034000000Z,name: Vertical Expansion,description: Expand step into sub-workflow,type: EXPANSION,conditions: [Sub-workflow must be self-contained, Must specify entry and exit points]})",Vertical Expansion,EXPANSION,[],38
"(:Rule {created: 2024-12-24T07:30:15.034000000Z,name: Tool Integration,description: Integrate tools from global index,type: INTEGRATION,conditions: [Tool must exist in index, Tool must be compatible with step type]})",Tool Integration,INTEGRATION,[],42
"(:Rule {created: 2024-12-24T07:30:15.034000000Z,name: Data Attachment,description: Attach data nodes to steps or workflows,type: ATTACHMENT,conditions: [Data must follow template, Must specify processing rules]})",Data Attachment,ATTACHMENT,[],42
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: add_observations,description: Add new observations to existing entities in the knowledge graph,type: MEMORY})",add_observations,MEMORY,[],109
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: create_entities,description: Create multiple new entities in the knowledge graph,type: MEMORY})",create_entities,MEMORY,[],109
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: create_relations,description: Create multiple new relations between entities in the knowledge graph,type: MEMORY})",create_relations,MEMORY,[],109
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: delete_entities,description: Delete multiple entities and their associated relations,type: MEMORY})",delete_entities,MEMORY,[],110
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: delete_observations,description: Delete specific observations from entities,type: MEMORY})",delete_observations,MEMORY,[],100
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: delete_relations,description: Delete multiple relations from the knowledge graph,type: MEMORY})",delete_relations,MEMORY,[],90
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: read_graph,description: Read the entire knowledge graph,type: MEMORY})",read_graph,MEMORY,[],90
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: search_nodes,description: Search for nodes based on a query,type: MEMORY})",search_nodes,MEMORY,[],90
"(:Tool {server: memory,created: 2024-12-24T07:31:33.752000000Z,name: open_nodes,description: Open specific nodes by their names,type: MEMORY})",open_nodes,MEMORY,[],90
"(:Tool {server: sqlite,created: 2024-12-24T07:31:33.752000000Z,name: create_table,description: Create a new table in SQLite database,type: DATABASE})",create_table,DATABASE,[],90
"(:Tool {server: sqlite,created: 2024-12-24T07:31:33.752000000Z,name: read_query,description: Execute a SELECT query on SQLite,type: DATABASE})",read_query,DATABASE,[],90
"(:Tool {server: sqlite,created: 2024-12-24T07:31:33.752000000Z,name: write_query,description: Execute INSERT, UPDATE, or DELETE on SQLite,type: DATABASE})",write_query,DATABASE,[],90
"(:Tool {server: sqlite,created: 2024-12-24T07:31:33.752000000Z,name: list_tables,description: List all tables in SQLite database,type: DATABASE})",list_tables,DATABASE,[],90
"(:Tool {server: sqlite,created: 2024-12-24T07:31:33.752000000Z,name: describe_table,description: Get schema information for a specific table,type: DATABASE})",describe_table,DATABASE,[],91
"(:Tool {server: postgres,created: 2024-12-24T07:31:33.752000000Z,name: query,description: Run a read-only SQL query,type: DATABASE})",query,DATABASE,[],71
"(:Tool {server: sqlite,created: 2024-12-24T07:31:33.752000000Z,name: append_insight,description: Add a business insight to the memo,type: DATABASE})",append_insight,DATABASE,[],71
"(:Tool {server: filesystem,created: 2024-12-24T07:31:42.431000000Z,name: create_directory,description: Create a new directory or ensure it exists,type: FILESYSTEM})",create_directory,FILESYSTEM,[],71
"(:Tool {server: filesystem,created: 2024-12-24T07:31:42.431000000Z,name: list_directory,description: Get detailed listing of files and directories,type: FILESYSTEM})",list_directory,FILESYSTEM,[],71
"(:Tool {server: filesystem,created: 2024-12-24T07:31:42.431000000Z,name: move_file,description: Move or rename files and directories,type: FILESYSTEM})",move_file,FILESYSTEM,[],71
"(:Tool {server: filesystem,created: 2024-12-24T07:31:42.431000000Z,name: search_files,description: Recursively search for files and directories,type: FILESYSTEM})",search_files,FILESYSTEM,[],71
"(:Tool {server: filesystem,created: 2024-12-24T07:31:42.431000000Z,name: get_file_info,description: Retrieve detailed metadata about a file or directory,type: FILESYSTEM})",get_file_info,FILESYSTEM,[],71
"(:Tool {server: filesystem,created: 2024-12-24T07:31:42.431000000Z,name: list_allowed_directories,description: Returns list of accessible directories,type: FILESYSTEM})",list_allowed_directories,FILESYSTEM,[],71
"(:Tool {server: mcp-pandoc,created: 2024-12-24T07:31:42.431000000Z,name: convert-contents,description: Converts content between different formats,type: CONVERSION})",convert-contents,CONVERSION,[],71
"(:Tool {server: docker-mcp,created: 2024-12-24T07:31:42.431000000Z,name: create-container,description: Create a new standalone Docker container,type: DOCKER})",create-container,DOCKER,[],41
"(:Tool {server: docker-mcp,created: 2024-12-24T07:31:42.431000000Z,name: deploy-compose,description: Deploy a Docker Compose stack,type: DOCKER})",deploy-compose,DOCKER,[],31
"(:Tool {server: docker-mcp,created: 2024-12-24T07:31:42.431000000Z,name: get-logs,description: Retrieve logs for a Docker container,type: DOCKER})",get-logs,DOCKER,[],31
"(:Tool {server: docker-mcp,created: 2024-12-24T07:31:42.431000000Z,name: list-containers,description: List all Docker containers,type: DOCKER})",list-containers,DOCKER,[],31
"(:Tool {server: google-maps,created: 2024-12-24T07:31:53.045000000Z,name: maps_geocode,description: Convert address to coordinates,type: MAPS})",maps_geocode,MAPS,[],31
"(:Tool {server: google-maps,created: 2024-12-24T07:31:53.045000000Z,name: maps_reverse_geocode,description: Convert coordinates to address,type: MAPS})",maps_reverse_geocode,MAPS,[],31
"(:Tool {server: google-maps,created: 2024-12-24T07:31:53.045000000Z,name: maps_search_places,description: Search for places using Google Places API,type: MAPS})",maps_search_places,MAPS,[],31
"(:Tool {server: google-maps,created: 2024-12-24T07:31:53.045000000Z,name: maps_place_details,description: Get detailed place information,type: MAPS})",maps_place_details,MAPS,[],31
"(:Tool {server: google-maps,created: 2024-12-24T07:31:53.045000000Z,name: maps_distance_matrix,description: Calculate travel distances and times,type: MAPS})",maps_distance_matrix,MAPS,[],31
"(:Tool {server: google-maps,created: 2024-12-24T07:31:53.045000000Z,name: maps_elevation,description: Get elevation data for locations,type: MAPS})",maps_elevation,MAPS,[],31
"(:Tool {server: google-maps,created: 2024-12-24T07:31:53.045000000Z,name: maps_directions,description: Get directions between points,type: MAPS})",maps_directions,MAPS,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: create_or_update_file,description: Create or update a file in GitHub repo,type: GITHUB})",create_or_update_file,GITHUB,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: search_repositories,description: Search for GitHub repositories,type: GITHUB})",search_repositories,GITHUB,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: create_repository,description: Create a new GitHub repository,type: GITHUB})",create_repository,GITHUB,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: get_file_contents,description: Get contents from GitHub repo,type: GITHUB})",get_file_contents,GITHUB,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: push_files,description: Push multiple files to GitHub,type: GITHUB})",push_files,GITHUB,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: create_issue,description: Create a new issue in GitHub repo,type: GITHUB})",create_issue,GITHUB,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: create_pull_request,description: Create a new pull request,type: GITHUB})",create_pull_request,GITHUB,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: fork_repository,description: Fork a GitHub repository,type: GITHUB})",fork_repository,GITHUB,[],31
"(:Tool {server: github,created: 2024-12-24T07:31:53.045000000Z,name: create_branch,description: Create a new branch in GitHub repo,type: GITHUB})",create_branch,GITHUB,[],31
"(:Tool {server: puppeteer,created: 2024-12-24T07:32:01.802000000Z,name: puppeteer_navigate,description: Navigate to a URL,type: PUPPETEER})",puppeteer_navigate,PUPPETEER,[],31
"(:Tool {server: puppeteer,created: 2024-12-24T07:32:01.802000000Z,name: puppeteer_screenshot,description: Take a screenshot of page or element,type: PUPPETEER})",puppeteer_screenshot,PUPPETEER,[],31
"(:Tool {server: puppeteer,created: 2024-12-24T07:32:01.802000000Z,name: puppeteer_click,description: Click an element on the page,type: PUPPETEER})",puppeteer_click,PUPPETEER,[],31
"(:Tool {server: puppeteer,created: 2024-12-24T07:32:01.802000000Z,name: puppeteer_fill,description: Fill out an input field,type: PUPPETEER})",puppeteer_fill,PUPPETEER,[],31
"(:Tool {server: puppeteer,created: 2024-12-24T07:32:01.802000000Z,name: puppeteer_select,description: Select an element with Select tag,type: PUPPETEER})",puppeteer_select,PUPPETEER,[],31
"(:Tool {server: puppeteer,created: 2024-12-24T07:32:01.802000000Z,name: puppeteer_hover,description: Hover an element on the page,type: PUPPETEER})",puppeteer_hover,PUPPETEER,[],31
"(:Tool {server: puppeteer,created: 2024-12-24T07:32:01.802000000Z,name: puppeteer_evaluate,description: Execute JavaScript in browser console,type: PUPPETEER})",puppeteer_evaluate,PUPPETEER,[],31
"(:Tool {server: mcp-installer,created: 2024-12-24T07:32:01.802000000Z,name: install_repo_mcp_server,description: Install MCP server via npx/uvx,type: MCP})",install_repo_mcp_server,MCP,[],31
"(:Tool {server: mcp-installer,created: 2024-12-24T07:32:01.802000000Z,name: install_local_mcp_server,description: Install locally cloned MCP server,type: MCP})",install_local_mcp_server,MCP,[],31
"(:Tool {server: mcp-server-commands,created: 2024-12-24T07:32:01.802000000Z,name: run_command,description: Run a system command,type: SYSTEM})",run_command,SYSTEM,[],31
"(:Tool {server: mcp-server-commands,created: 2024-12-24T07:32:01.802000000Z,name: run_script,description: Run a script file,type: SYSTEM})",run_script,SYSTEM,[],31
"(:ExampleWorkflows {created: 2024-12-24T07:33:11.967000000Z,name: Example Workflows,description: Collection of example workflows demonstrating system capabilities})",Example Workflows,null,[],54
"(:Workflow {created: 2024-12-24T07:33:11.967000000Z,name: Process Customer Order,description: Workflow for processing a customer's order})",Process Customer Order,null,[],56
"(:Step {name: Receive Order,description: Receive the customer's order details.})",Receive Order,null,[],39
"(:Step {name: Validate Order,description: Validate the order information.})",Validate Order,null,[],42
"(:Step {name: Process Payment,description: Process the payment for the order.})",Process Payment,null,[],46
"(:Step {name: Fulfill Order,description: Fulfill the order by shipping the products.})",Fulfill Order,null,[],46
"(:Step {name: Send Confirmation,description: Send an order confirmation to the customer.})",Send Confirmation,null,[],45
"(:Workflow {created: 2024-12-24T07:33:17.901000000Z,name: Onboarding New User,description: Workflow for onboarding a new user to the platform})",Onboarding New User,null,[],57
"(:Step {name: Create User Account,description: Create a new user account in the system.})",Create User Account,null,[],44
"(:Step {name: Send Welcome Email,description: Send a welcome email to the new user.})",Send Welcome Email,null,[],50
"(:Step {name: Assign Initial Tasks,description: Assign initial tasks to the new user.})",Assign Initial Tasks,null,[],46
"(:Step {name: Schedule Training,description: Schedule a training session for the new user.})",Schedule Training,null,[],49
"(:MetaWorkflow {created: 2024-12-24T07:33:24.568000000Z,name: Agent Management Meta-Workflow,description: Meta-workflow for managing AI agents and their tasks})",Agent Management Meta-Workflow,null,[],59
"(:Workflow {created: 2024-12-24T07:33:24.568000000Z,name: Dynamic Task Assignment,description: Workflow for dynamically assigning tasks to agents based on availability})",Dynamic Task Assignment,null,[],34
"(:Step {name: Receive Task Request,description: Receive a new task request.})",Receive Task Request,null,[],23
"(:Step {name: Identify Available Agents,description: Identify agents available to perform the task.})",Identify Available Agents,null,[],24
"(:Step {name: Assign Task,description: Assign the task to the most suitable available agent.})",Assign Task,null,[],24
"(:Step {name: Notify Agent,description: Notify the assigned agent about the new task.})",Notify Agent,null,[],23
"(:Workflow {created: 2024-12-24T07:33:41.875000000Z,name: Complex Data Processing,description: A complex workflow demonstrating fractal composition for processing data})",Complex Data Processing,null,[],58
"(:Step {name: Initiate Data Ingestion,description: Start the process of ingesting data.})",Initiate Data Ingestion,null,[],47
"(:Step {name: Process Data Sub-Workflow,description: Execute the sub-workflow for data processing.})",Process Data Sub-Workflow,null,[],53
"(:Step {name: Validate Results,description: Validate the results after processing.})",Validate Results,null,[],46
"(:Workflow {created: 2024-12-24T07:33:41.875000000Z,name: Clean and Transform Data,description: Sub-workflow for cleaning and transforming data})",Clean and Transform Data,null,[],49
"(:Workflow {created: 2024-12-24T07:33:41.875000000Z,name: Analyze Data,description: Sub-workflow for analyzing the processed data})",Analyze Data,null,[],49
"(:Step {name: Clean Data,description: Cleanse the ingested data.})",Clean Data,null,[],39
"(:Step {name: Transform Data,description: Transform the data into the required format.})",Transform Data,null,[],38
"(:Step {name: Perform Statistical Analysis,description: Perform statistical analysis on the data.})",Perform Statistical Analysis,null,[],39
"(:Step {name: Generate Report,description: Generate a report based on the analysis.})",Generate Report,null,[],38
"(:IndexPortal {created: 2024-12-24T07:59:36.360000000Z,name: MetaTransformer Portal,description: Central access point for MetaTransformer system components})",MetaTransformer Portal,null,[],42
"(:Guide {created: 2024-12-24T07:59:36.360000000Z,name: Fractal Navigation Guide,description: AI-readable instructions for traversing and utilizing the system})",Fractal Navigation Guide,null,[],58
"(:Index {created: 2024-12-24T07:59:36.360000000Z,name: Tool Index,description: Comprehensive index of all available system tools,type: TOOL_INDEX})",Tool Index,TOOL_INDEX,[],58
"(:Index {created: 2024-12-24T07:59:36.360000000Z,name: Workflow Index,description: Index of all workflow templates and examples,type: WORKFLOW_INDEX})",Workflow Index,WORKFLOW_INDEX,[],57
"(:Workflow {created: 2024-12-24T07:59:36.360000000Z,name: Advanced Node Search,description: Workflow for finding or creating missing nodes})",Advanced Node Search,null,[],60
"(:Content {access_patterns: [Use IndexPortal as primary entry point, Check tool availability through Tool Index, Reference workflow templates through Workflow Index, Initiate Advanced Node Search if target not found],search_strategies: [Direct match via node properties, Pattern-based search via relationships, Context-based search via metadata, Fractal expansion for detailed exploration],purpose: Provide AI agents with navigation and usage patterns,error_patterns: [Log missing nodes, Suggest creation patterns, Maintain relationship integrity],created: 2024-12-24T08:00:06.628000000Z,name: AI Navigation Instructions,type: GUIDE})",AI Navigation Instructions,GUIDE,[],41
"(:Step {created: 2024-12-24T08:00:12.676000000Z,name: Query Validation,description: Validate and parse the search query})",Query Validation,null,[],42
"(:Step {created: 2024-12-24T08:00:12.676000000Z,name: Pattern Search,description: Search for existing nodes matching pattern})",Pattern Search,null,[],47
"(:Step {created: 2024-12-24T08:00:12.676000000Z,name: Context Analysis,description: Analyze context for potential locations})",Context Analysis,null,[],46
"(:Step {created: 2024-12-24T08:00:12.676000000Z,name: Node Creation,description: Create new node if none found})",Node Creation,null,[],45
"(:VirtualRepository {created: 2024-12-24T08:03:04.861000000Z,name: MetaTransformer Reference Implementation,description: Virtual reference implementation of the fractal workflow concept})",MetaTransformer Reference Implementation,null,[],54
"(:ConceptIndex {created: 2024-12-24T08:03:15.329000000Z,name: Fractal Workflow Concepts,description: Core concepts of the fractal workflow system})",Fractal Workflow Concepts,null,[],46
"(:RuleSet {created: 2024-12-24T08:03:15.329000000Z,name: Implementation Rules,description: Rules governing fractal workflow implementation})",Implementation Rules,null,[],19
"(:Concept {name: Fractal Composition,description: Workflows can contain and expand into other workflows recursively,key_principles: [Self-similarity, Recursive expansion, Modular composition]})",Fractal Composition,null,[],19
"(:Concept {name: Dynamic Tool Binding,description: Tools can be dynamically bound to workflow steps,key_principles: [Runtime binding, Context awareness, Tool indexing]})",Dynamic Tool Binding,null,[],19
"(:Concept {name: Adaptive Execution,description: Workflows adapt execution based on context and available resources,key_principles: [Context sensitivity, Resource awareness, Dynamic routing]})",Adaptive Execution,null,[],19
"(:AIProtocol {growth_patterns: [Template-based expansion, Context-preserving growth, Harmony validation, Fractal integrity checks],created: 2024-12-24T08:07:46.854000000Z,name: AI Interaction Protocol,description: Explicit protocol for AI interaction with fractal workflow system,error_recovery: [State preservation, Graceful degradation, Context restoration, Pattern repair],capability_mapping: [Tool identification and validation, Context-aware tool selection, Runtime capability assessment, Dynamic tool binding],entry_sequence: [Initialize from IndexPortal, Load capability context, Validate access patterns, Establish working memory]})",AI Interaction Protocol,null,[],41
"(:AIUsagePatterns {growth_template: MATCH (wt:WorkflowTemplate) WHERE wt.type = $growth_type,tool_binding: MATCH (step:Step)-[:USES]->(tool:Tool) CREATE (step)-[:EXECUTES]->(tool),created: 2024-12-24T08:08:00.221000000Z,init_capability: MATCH (ti:ToolIndex)-[:REFERENCED_BY]-(tool:Tool) RETURN tool,init_entry: MATCH (portal:IndexPortal) RETURN portal,name: AI Usage Patterns,description: Explicit patterns for AI system interaction,growth_check: MATCH path = (start)-[:NEXT*]->(end) RETURN path,init_context: MATCH (portal:IndexPortal)-[:INDEXED_IN|REFERENCED_BY*]-(component) RETURN component,tool_validation: MATCH (tool:Tool) WHERE tool.capabilities CONTAINS $required_capability,tool_selection: MATCH (tool:Tool {type: $required_type}) RETURN tool,growth_pattern: CREATE path = (start)-[:NEXT*]->(end)})",AI Usage Patterns,null,[],9
"(:AIInitProtocol {created: 2024-12-24T08:08:17.791000000Z,name: AI Initialization Protocol,description: Clear initialization and usage protocol for AI agents,required_validations: [Portal Access, Tool Availability, Template Access, Growth Patterns, Error Recovery],steps: [Load IndexPortal, Validate AI Protocol, Initialize Working Context, Load Tool Capabilities, Verify Access Patterns],version: 1.0,clear_entry_points: [portal -> guide -> protocol, portal -> index -> tools, portal -> templates -> workflows, portal -> search -> missing components]})",AI Initialization Protocol,null,[],56
"(:AIUsageStructure {created: 2024-12-24T08:11:57.188000000Z,name: AI Direct Usage Framework,description: Explicit framework for AI interaction with fractal workflows,version: 1.0.0})",AI Direct Usage Framework,null,[],6
"(:USAGE_PATTERN {query: MATCH (portal:IndexPortal) CALL { WITH portal MATCH (portal)-[:GUIDES|INDEXED_IN|SUPPORTS*1..2]-(component) RETURN collect(component) as context },name: Entry Sequence,flags: [INITIALIZE_CONTEXT, LOAD_CAPABILITIES, VERIFY_ACCESS],error_handling: RESTORE_POINT,type: ENTRY,validation: REQUIRED})",Entry Sequence,ENTRY,[],44
"(:VALIDATION_CHECKPOINT {recovery_path: USE_SEARCH_WORKFLOW,required_checks: [PORTAL_ACCESS, TOOL_AVAILABILITY, TEMPLATE_ACCESS],name: System Validation,type: CHECKPOINT,failure_protocol: INITIATE_RECOVERY})",System Validation,CHECKPOINT,[],43
"(:GROWTH_PATTERN {application: RECURSIVE,patterns: [TEMPLATE_BASED, CONTEXT_AWARE, HARMONY_PRESERVING],name: Fractal Growth Protocol,type: GROWTH,validation_rules: [CHECK_INTEGRITY, VERIFY_CONNECTIONS, ENSURE_TOOLING]})",Fractal Growth Protocol,GROWTH,[],43
"(:ExecutionPatterns {node_search_steps: [INITIATE from IndexPortal, TRAVERSE relevant indices, FALLBACK to search workflow],name: AI Execution Patterns,type: EXECUTION,workflow_execution_steps: [MATCH (w:Workflow) WHERE w.name = target_workflow, FOLLOW [:STARTS_WITH]->[:NEXT*] pattern, HANDLE errors via [:ERROR_PATH]],tool_selection_steps: [MATCH (ti:ToolIndex) RETURN ti, MATCH (tool:Tool) WHERE tool.type = required_type, VERIFY tool.capabilities]})",AI Execution Patterns,EXECUTION,[],43
"(:RecoveryProtocol {name: Error Recovery Protocol,automatic: true,type: RECOVERY,priority: HIGH,steps: [PRESERVE current state, LOG error context, ATTEMPT resolution via search, RESTORE or CREATE required nodes]})",Error Recovery Protocol,RECOVERY,[],24
"(:ValidationRules {portal_checks: [Verify IndexPortal accessibility, Validate all required indices present, Check tool index completeness],workflow_checks: [Verify template availability, Validate workflow connections, Check tool bindings],growth_checks: [Validate fractal patterns, Check harmony preservation, Verify expansion rules],name: System Validation Rules,type: VALIDATION})",System Validation Rules,VALIDATION,[],43
"(:Workflow {name: AI-Knowledge-Acquisition,description: Automated system for AI knowledge acquisition and processing,priority: 1,status: active})",AI-Knowledge-Acquisition,null,[],3
"(:Step {name: Initialize-Environment,description: Set up workspace and validate system requirements,order: 1})",Initialize-Environment,null,[],2
"(:Step {name: Configure-AI-Models,description: Set up and configure AI models (o1-preview, o1-mini) with appropriate parameters,order: 2})",Configure-AI-Models,null,[],2
"(:Step {name: Data-Acquisition,description: Automated knowledge gathering from specified sources,order: 3})",Data-Acquisition,null,[],2
"(:Step {name: Validation-Processing,description: Validate and process acquired knowledge,order: 4})",Validation-Processing,null,[],2
"(:Step {name: Integration,description: Integrate processed knowledge into the system,order: 5})",Integration,null,[],1
"(:VALIDATION_CHECKPOINT {name: security-validation,description: Validate user authorization and system security requirements})",security-validation,null,[],1
"(:USAGE_PATTERN {name: ai-knowledge-acquisition,description: Pattern for secure and efficient AI knowledge acquisition})",ai-knowledge-acquisition,null,[],1
"(:WikiArticle {intro: ,extracted_at: 2024-12-24T02:28:01.173589000Z,title: Quantum_computer,url: https://en.wikipedia.org/wiki/Quantum_computer})",null,null,[],1
"(:KnowledgeLibrary {name: AI_Knowledge_Library,created_at: 2024-12-24T09:27:36.277000000Z})",AI_Knowledge_Library,null,[],3
"(:LibraryIndex {name: WikiKnowledge,type: Wikipedia})",WikiKnowledge,Wikipedia,[],4
"(:LibraryIndex {name: ConceptIndex,type: Concepts})",ConceptIndex,Concepts,[],20
"(:LibraryIndex {name: SourceIndex,type: Sources})",SourceIndex,Sources,[],1
"(:WikiArticle {intro: ,extracted_at: 2024-12-24T02:28:03.930193000Z,title: Artificial_intelligence,url: https://en.wikipedia.org/wiki/Artificial_intelligence})",null,null,[],1
